"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2026","123.66","118.94","126.15","118.20","10.75K","5.89%"
"05/14/2026","116.78","115.00","118.20","112.99","8.04K","1.52%"
"05/13/2026","115.03","112.91","115.51","112.91","12.47K","0.20%"
"05/12/2026","114.80","114.96","117.60","113.34","11.04K","1.21%"
"05/11/2026","113.43","108.00","115.11","108.00","8.90K","2.74%"
"05/10/2026","110.40","108.00","110.40","108.00","0.04K","2.12%"
"05/08/2026","108.11","111.47","111.47","106.50","6.48K","1.16%"
"05/07/2026","106.87","108.26","111.00","101.77","9.91K","-0.64%"
"05/06/2026","107.56","114.50","114.50","99.00","12.72K","-6.49%"
"05/05/2026","115.02","119.75","119.76","114.15","8.19K","2.60%"
"05/01/2026","112.10","114.35","114.67","110.15","7.98K","-0.69%"
"04/30/2026","112.88","116.48","120.00","112.10","9.66K","-2.71%"
"04/29/2026","116.02","109.25","117.50","109.25","12.03K","7.02%"
"04/28/2026","108.41","111.60","113.00","106.92","13.60K","-2.15%"
"04/27/2026","110.79","111.74","113.25","108.20","9.19K","-1.00%"
"04/24/2026","111.91","113.09","114.15","108.04","9.09K","0.92%"
"04/23/2026","110.89","112.99","114.41","109.31","11.30K","2.26%"
"04/22/2026","108.44","105.00","110.75","103.80","13.58K","3.16%"
"04/21/2026","105.12","98.36","110.00","97.86","11.45K","3.76%"
"04/20/2026","101.31","102.02","103.97","98.99","9.84K","4.32%"
"04/17/2026","97.11","105.94","106.23","95.62","13.58K","-8.65%"
"04/16/2026","106.30","103.92","108.00","103.50","7.42K","2.54%"
"04/15/2026","103.67","108.99","108.99","103.27","10.71K","-4.67%"
"04/14/2026","108.75","115.00","115.50","106.25","9.30K","-6.88%"
"04/13/2026","116.79","126.69","126.69","114.58","9.59K","-6.57%"
"04/12/2026","125.00","126.69","126.69","125.00","0.02K","13.96%"
"04/10/2026","109.69","112.17","114.50","107.44","7.82K","-6.06%"
"04/09/2026","116.76","114.10","118.42","111.37","6.13K","2.20%"
"04/08/2026","114.25","110.50","115.75","107.18","9.89K","-15.37%"
"04/07/2026","135.00","131.22","135.79","123.41","7.73K","6.38%"
"04/02/2026","126.90","130.89","131.12","123.65","8.82K","5.38%"
"04/01/2026","120.42","122.55","124.87","118.62","7.71K","-6.00%"
"03/31/2026","128.10","136.26","136.77","125.92","6.10K","-7.08%"
"03/30/2026","137.86","138.50","140.30","134.56","5.29K","1.26%"
"03/27/2026","136.15","140.47","143.00","135.30","12.12K","-1.77%"
"03/26/2026","138.60","134.06","139.63","134.06","12.37K","4.39%"
"03/25/2026","132.77","126.21","134.00","123.00","12.27K","-2.63%"
"03/24/2026","136.35","144.60","145.08","131.79","9.93K","-4.83%"
"03/23/2026","143.27","155.00","159.47","132.79","16.57K","-5.18%"
"03/20/2026","151.10","153.86","158.61","149.06","12.50K","-3.54%"
"03/19/2026","156.64","175.50","180.00","153.81","18.18K","12.33%"
"03/18/2026","139.45","129.75","143.82","126.22","15.02K","6.29%"
"03/17/2026","131.20","132.00","134.20","130.43","8.34K","1.36%"
"03/16/2026","129.44","132.00","133.39","128.72","13.71K","1.29%"
"03/13/2026","127.79","129.47","132.59","123.84","10.49K","-1.21%"
"03/12/2026","129.35","137.01","137.01","126.80","12.67K","1.64%"
"03/11/2026","127.26","118.76","130.30","118.76","13.89K","5.50%"
"03/10/2026","120.63","123.66","127.41","115.81","11.34K","-15.95%"
"03/09/2026","143.53","156.01","170.00","141.69","13.98K","4.45%"
"03/06/2026","137.42","131.88","138.30","124.82","19.62K","4.50%"
"03/05/2026","131.50","138.00","140.75","123.39","20.09K","3.64%"
"03/04/2026","126.88","148.50","156.01","118.43","27.28K","-10.01%"
"03/03/2026","140.99","119.80","171.21","119.80","45.99K","23.90%"
"03/02/2026","113.79","96.12","125.00","94.36","36.64K","44.83%"
"02/27/2026","78.57","77.80","80.89","76.12","11.92K","0.98%"
"02/26/2026","77.81","74.00","78.01","72.67","9.39K","3.90%"
"02/25/2026","74.89","74.10","76.04","73.55","12.48K","0.56%"
"02/24/2026","74.47","76.72","76.87","73.28","14.54K","-3.35%"
"02/23/2026","77.05","74.83","78.41","74.35","23.47K","-0.77%"
"02/20/2026","77.65","82.00","83.01","75.90","14.78K","-5.39%"
"02/19/2026","82.07","79.95","84.05","78.80","39.04K","7.41%"
"02/18/2026","76.41","71.90","77.70","69.71","40.43K","7.42%"
"02/17/2026","71.13","70.70","73.15","70.31","22.36K","-1.96%"
"02/16/2026","72.55","74.00","74.00","71.34","14.12K","-4.85%"
"02/13/2026","76.25","74.71","76.79","74.71","15.90K","-1.27%"
"02/12/2026","77.23","76.50","78.24","75.00","14.00K","2.78%"
"02/11/2026","75.14","75.05","77.04","74.00","13.82K","0.93%"
"02/10/2026","74.45","80.00","80.00","74.02","22.07K","-5.70%"
"02/09/2026","78.95","76.25","79.32","76.25","15.37K","-7.29%"
"02/06/2026","85.16","81.00","86.93","81.00","13.91K","4.95%"
"02/05/2026","81.14","81.60","84.52","80.69","14.20K","1.78%"
"02/04/2026","79.72","80.60","81.00","77.45","14.10K","1.53%"
"02/03/2026","78.52","77.34","79.30","74.54","20.79K","-3.47%"
"02/02/2026","81.34","86.87","88.00","79.00","17.33K","-14.56%"
"01/30/2026","95.20","94.75","96.32","91.20","12.12K","-7.24%"
"01/29/2026","102.63","100.90","103.50","100.45","9.39K","2.21%"
"01/28/2026","100.41","101.35","101.95","95.84","18.76K","-0.51%"
"01/27/2026","100.92","100.50","105.50","98.68","21.89K","-0.71%"
"01/26/2026","101.64","112.15","113.00","100.20","18.72K","-2.89%"
