"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2026","109.20","108.75","109.00","108.75","0.10K","1.35%"
"05/14/2026","107.75","107.25","108.25","107.25","0.02K","-0.46%"
"05/13/2026","108.25","108.20","109.80","108.15","0.05K","-1.32%"
"05/12/2026","109.70","110.05","110.05","109.95","0.02K","-0.14%"
"05/11/2026","109.85","108.20","110.00","108.15","0.04K","2.57%"
"05/08/2026","107.10","106.20","107.75","106.20","0.08K","2.00%"
"05/07/2026","105.00","105.50","106.60","105.45","0.05K","0.24%"
"05/06/2026","104.75","110.10","110.10","110.10","0.06K","-5.12%"
"05/05/2026","110.40","111.45","112.00","109.50","0.08K","1.10%"
"05/04/2026","109.20","108.55","109.70","108.50","0.02K","1.63%"
"05/01/2026","107.45","107.45","107.45","107.45","","-1.83%"
"04/30/2026","109.45","110.05","112.00","108.20","0.07K","-0.91%"
"04/29/2026","110.45","105.00","110.50","105.00","0.14K","5.54%"
"04/28/2026","104.65","106.00","106.75","104.75","0.10K","0.34%"
"04/27/2026","104.30","103.00","104.35","102.00","0.23K","1.86%"
"04/24/2026","102.40","102.50","102.50","102.50","0.00K","-0.39%"
"04/23/2026","102.80","102.00","102.10","102.00","0.03K","0.29%"
"04/22/2026","102.50","101.85","102.00","101.70","0.14K","0.24%"
"04/21/2026","102.25","102.25","102.25","102.25","","0.64%"
"04/20/2026","101.60","101.40","101.40","101.40","0.00K","-0.29%"
"04/17/2026","101.90","102.95","102.95","101.45","0.00K","-1.02%"
"04/16/2026","102.95","102.95","102.95","102.95","","-0.19%"
"04/15/2026","103.15","103.50","103.50","103.50","0.01K","-0.82%"
"04/14/2026","104.00","105.90","105.90","105.90","0.02K","-1.42%"
"04/13/2026","105.50","106.50","106.50","106.00","0.01K","0.62%"
"04/10/2026","104.85","105.70","105.70","104.00","0.09K","-1.73%"
"04/09/2026","106.70","110.00","110.00","105.70","0.04K","-0.88%"
"04/08/2026","107.65","108.15","108.15","107.50","0.06K","-4.57%"
"04/07/2026","112.80","112.50","113.50","112.00","0.04K","-0.18%"
"04/06/2026","113.00","113.00","113.00","113.00","","0.00%"
"04/02/2026","113.00","114.45","114.50","113.00","0.05K","-0.35%"
"04/01/2026","113.40","116.50","116.50","113.75","0.09K","-4.71%"
"03/31/2026","119.00","119.00","119.50","118.75","0.15K","-2.38%"
"03/30/2026","121.90","125.40","125.40","122.00","0.07K","1.97%"
"03/27/2026","119.55","121.40","121.40","119.75","0.01K","-1.32%"
"03/26/2026","121.15","120.10","120.10","120.10","0.00K","2.19%"
"03/25/2026","118.55","118.45","118.45","118.45","0.00K","0.34%"
"03/24/2026","118.15","119.50","119.50","119.50","0.00K","-0.71%"
"03/23/2026","119.00","123.30","123.30","123.30","0.02K","-2.14%"
"03/20/2026","121.60","121.60","121.60","121.60","0.01K","-1.38%"
"03/19/2026","123.30","123.00","123.30","123.00","0.02K","1.73%"
"03/18/2026","121.20","120.85","121.50","120.85","0.08K","-0.37%"
"03/17/2026","121.65","122.00","122.00","121.75","0.04K","0.41%"
"03/16/2026","121.15","124.05","124.05","121.50","0.02K","-0.74%"
"03/13/2026","122.05","123.80","123.80","122.70","0.02K","-1.41%"
"03/12/2026","123.80","124.25","124.60","123.85","0.02K","1.98%"
"03/11/2026","121.40","120.50","121.50","120.50","0.02K","-0.37%"
"03/10/2026","121.85","129.25","129.25","118.95","0.02K","-8.04%"
"03/09/2026","132.50","134.00","134.20","132.00","0.04K","4.37%"
"03/06/2026","126.95","123.00","129.00","123.00","0.11K","2.84%"
"03/05/2026","123.45","125.00","125.00","125.00","0.07K","1.60%"
"03/04/2026","121.50","124.00","124.00","121.25","0.34K","-5.08%"
"03/03/2026","128.00","129.00","139.50","124.15","0.10K","7.74%"
"03/02/2026","118.80","113.00","119.50","113.00","0.25K","11.81%"
"02/27/2026","106.25","106.25","106.25","106.25","","-0.23%"
"02/26/2026","106.50","106.50","106.50","106.50","0.02K","0.00%"
"02/25/2026","106.50","106.50","106.50","106.50","","0.14%"
"02/24/2026","106.35","106.35","106.35","106.35","0.15K","-0.84%"
"02/23/2026","107.25","107.95","107.95","105.85","0.10K","-0.37%"
"02/20/2026","107.65","107.65","107.65","107.65","","0.65%"
"02/19/2026","106.95","106.95","106.95","106.95","","-0.28%"
"02/18/2026","107.25","105.50","105.50","105.50","0.02K","1.56%"
"02/17/2026","105.60","105.50","105.50","105.50","0.00K","0.24%"
"02/16/2026","105.35","105.05","105.05","105.05","0.00K","0.48%"
