"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2026","600.90","601.00","602.60","600.10","0.12K","-0.56%"
"05/15/2026","604.30","614.20","614.30","602.80","111.02K","-1.90%"
"05/14/2026","616.00","613.10","616.80","611.40","56.85K","1.13%"
"05/13/2026","609.10","605.40","612.90","604.50","76.58K","0.73%"
"05/12/2026","604.70","610.40","610.40","603.50","82.93K","-1.10%"
"05/11/2026","611.40","609.00","611.70","608.50","86.82K","0.30%"
"05/08/2026","609.60","610.60","612.70","608.30","74.69K","-0.73%"
"05/07/2026","614.10","621.80","624.00","608.20","111.78K","-1.22%"
"05/06/2026","621.70","610.20","624.40","610.20","138.21K","2.37%"
"05/05/2026","607.30","602.00","609.20","599.00","89.66K","1.00%"
"05/04/2026","601.30","610.80","611.50","597.30","106.46K","-1.13%"
"04/30/2026","608.20","599.20","610.40","593.70","133.53K","1.50%"
"04/29/2026","599.20","604.40","605.00","596.30","85.26K","-0.75%"
"04/28/2026","603.70","607.10","607.10","600.90","97.94K","-0.30%"
"04/27/2026","605.50","606.80","610.70","604.60","67.41K","-0.28%"
"04/24/2026","607.20","608.20","611.30","604.30","126.90K","-0.64%"
"04/23/2026","611.10","605.10","611.50","601.10","147.88K","0.08%"
"04/22/2026","610.60","611.50","614.70","608.90","109.81K","-0.39%"
"04/21/2026","613.00","618.70","619.90","607.40","101.20K","-0.66%"
"04/20/2026","617.10","617.30","618.60","614.70","126.15K","-0.77%"
"04/17/2026","621.90","611.50","623.20","610.40","176.24K","1.55%"
"04/16/2026","612.40","614.30","616.20","610.00","110.38K","-0.11%"
"04/15/2026","613.10","616.10","617.20","611.20","96.72K","-0.41%"
"04/14/2026","615.60","612.20","618.00","610.70","94.41K","1.00%"
"04/13/2026","609.50","604.40","612.90","599.20","104.05K","-0.18%"
"04/10/2026","610.60","608.70","614.70","607.80","115.98K","0.66%"
"04/09/2026","606.60","609.10","611.30","604.00","135.81K","-0.20%"
"04/08/2026","607.80","606.90","615.50","605.30","312.59K","3.84%"
"04/07/2026","585.30","594.90","596.50","583.50","160.15K","-0.91%"
"04/02/2026","590.70","594.30","594.30","581.10","117.29K","-0.22%"
"04/01/2026","592.00","586.00","595.10","585.30","150.47K","2.48%"
"03/31/2026","577.70","569.50","586.50","567.60","215.35K","0.52%"
"03/30/2026","574.70","561.60","577.50","561.20","135.12K","0.84%"
"03/27/2026","569.90","575.30","577.70","565.00","163.67K","-0.82%"
"03/26/2026","574.60","584.70","584.70","571.70","147.69K","-1.12%"
"03/25/2026","581.10","578.90","583.90","576.70","168.51K","1.36%"
"03/24/2026","573.30","572.60","579.20","564.70","182.22K","0.42%"
"03/23/2026","570.90","561.70","580.80","552.70","311.05K","-1.99%"
"03/20/2026","582.50","587.30","589.50","583.30","4.68K","-0.14%"
"03/19/2026","583.30","591.00","593.40","578.60","219.44K","-2.47%"
"03/18/2026","598.10","599.90","606.40","591.00","222.88K","-0.70%"
"03/17/2026","602.30","598.40","605.10","595.60","370.27K","0.69%"
"03/16/2026","598.20","598.50","601.10","592.80","517.50K","0.42%"
"03/13/2026","595.70","600.60","603.10","591.60","195.10K","-0.45%"
"03/12/2026","598.40","597.50","602.70","594.60","149.10K","-0.37%"
"03/11/2026","600.60","605.10","606.50","598.20","177.03K","-0.84%"
